County,Average Effective Property Tax Rate
Adams,0.0104
Asotin,0.0107
Benton,0.0104
Chelan,0.0087
Clallam,0.0093
Clark,0.0106
Columbia,0.0098
Cowlitz,0.0104
Douglas,0.0096
Ferry,0.0079
Franklin,0.0115
Garfield,0.0099
Grant,0.0108
Grays Harbor,0.0106
Island,0.0084
Jefferson,0.008
King,0.0095
Kitsap,0.0101
Kittitas,0.0084
Klickitat,0.0073
Lewis,0.0093
Lincoln,0.0084
Mason,0.0096
Okanogan,0.0089
Pacific,0.0101
Pend Oreille,0.0074
Pierce,0.0121
San Juan,0.0062
Skagit,0.0101
Skamania,0.0084
Snohomish,0.01
Spokane,0.0119
Stevens,0.0081
Thurston,0.0109
Wahkiakum,0.0084
Walla Walla,0.0115
Whatcom,0.0087
Whitman,0.0099
Yakima,0.0106
